HS8 (numeric),Description,General framework , General framework Country exclusions,Enhanced framework ,Least developed countries framework ,Transitional Protection Scheme ,,,,,,,,
87043139,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS WITH SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINE OF A GROSS VEHICLE WEIGHT <= 5 T OF A CYLINDER CAPACITY > 2.800 CMÂ³ USED (EXCL. DUMPERS FOR OFF-HIGHWAY USE OF SUBHEADING 8704.10 SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 AND SPECIAL MOTOR VEHICLES FOR THE TRANSPORT OF HIGHLY RADIOACTIVE MATERIALS),15.400 % ,India,0.0%,0%,0%,,,,,,,,
87043191,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS WITH SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINE OF A GROSS VEHICLE WEIGHT <= 5 T OF A CYLINDER CAPACITY <= 2.800 CMÂ³ NEW (EXCL. DUMPERS FOR OFF-HIGHWAY USE OF SUBHEADING 8704.10 SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 AND SPECIAL MOTOR VEHICLES FOR THE TRANSPORT OF HIGHLY RADIOACTIVE MATERIALS),6.5%,India,0.0%,0%,0%,,,,,,,,
87043199,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS WITH SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINE OF A GROSS VEHICLE WEIGHT <= 5 T OF A CYLINDER CAPACITY <= 2.800 CMÂ³ USED (EXCL. DUMPERS FOR OFF-HIGHWAY USE OF SUBHEADING 8704.10 SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 AND SPECIAL MOTOR VEHICLES FOR THE TRANSPORT OF HIGHLY RADIOACTIVE MATERIALS),6.5%,India,0.0%,0%,0%,,,,,,,,
87043210,MOTOR VEHICLES WITH SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINE OF A GROSS VEHICLE WEIGHT > 5 T FOR THE TRANSPORT OF HIGHLY RADIOACTIVE MATERIALS {EURATOM},0.0%,India,0.0%,0%,0%,,,,,,,,
87043291,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS WITH SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINE OF A GROSS VEHICLE WEIGHT > 5 T NEW (EXCL. DUMPERS FOR OFF-HIGHWAY USE OF SUBHEADING 8704.10 SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 AND SPECIAL MOTOR VEHICLES FOR THE TRANSPORT OF HIGHLY RADIOACTIVE MATERIALS),15.400 % ,India,0.0%,0%,0%,,,,,,,,
87043299,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS WITH SPARK-IGNITION INTERNAL COMBUSTION PISTON ENGINE OF A GROSS VEHICLE WEIGHT > 5 T USED (EXCL. DUMPERS FOR OFF-HIGHWAY USE OF SUBHEADING 8704.10 SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 AND SPECIAL MOTOR VEHICLES FOR THE TRANSPORT OF HIGHLY RADIOACTIVE MATERIALS),15.400 % ,India,0.0%,0%,0%,,,,,,,,
87049000,MOTOR VEHICLES FOR THE TRANSPORT OF GOODS WITH ENGINES OTHER THAN INTERNAL COMBUSTION PISTON ENGINE (EXCL. DUMPERS FOR OFF-HIGHWAY USE OF SUBHEADING 8704.10 AND SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705),6.5%,India,0.0%,0%,0%,,,,,,,,
87051000,CRANE LORRIES (EXCL. BREAKDOWN LORRIES),0.0%,India,0.0%,0%,0%,,,,,,,,
87052000,MOBILE DRILLING DERRICKS,0.0%,India,0.0%,0%,0%,,,,,,,,
87053000,FIRE FIGHTING VEHICLES (EXCL. VEHICLES FOR TRANSPORTING PERSONS),0.0%,India,0.0%,0%,0%,,,,,,,,
87054000,CONCRETE-MIXER LORRIES,0.0%,India,0.0%,0%,0%,,,,,,,,
87059030,CONCRETE-PUMPING VEHICLES,0.0%,India,0.0%,0%,0%,,,,,,,,
87059080,SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS OR GOODS AND CONCRETE-MIXER LORRIES FIRE FIGHTING VEHICLES MOBILE DRILLING DERRICKS CRANE LORRIES AND CONCRETE-PUMPING VEHICLES),0.0%,India,0.0%,0%,0%,,,,,,,,
87060011,CHASSIS WITH COMPRESSION IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY > 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY > 2.800 CMÂ³ FOR MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS AND MOTOR VEHICLES FOR THE TRANSPORT OF GOODS,0.0%,India,0.0%,0%,0%,,,,,,,,
87060019,CHASSIS WITH COMPRESSION IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY > 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY > 2.800 CMÂ³ FOR MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS,0.0%,India,0.0%,0%,0%,,,,,,,,
87060091,CHASSIS WITH COMPRESSION IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY <= 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY <= 2.800 CMÂ³ FOR MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS,0.0%,India,0.0%,0%,0%,,,,,,,,
87060099,CHASSIS WITH COMPRESSION IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY <= 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL COMBUSTION ENGINES OF CYLINDER CAPACITY <= 2.800 CMÂ³ FOR MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS AND MOTOR VEHICLES FOR THE TRANSPORT OF GOODS,0.0%,India,0.0%,0%,0%,,,,,,,,
87071010,BODIES FOR THE INDUSTRIAL ASSEMBLY OF MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS,0.0%,India,0.0%,0%,0%,,,,,,,,
87071090,BODIES FOR MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (EXCL. THOSE FOR INDUSTRIAL ASSEMBLY OF SUBHEADING 8707.10.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87079010,"BODIES FOR THE INDUSTRIAL ASSEMBLY OF PEDESTRIAN CONTROLLED TRACTORS OF SUBHEADING 8701.10 VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" OF A CYLINDER CAPACITY <= 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE OF A CYLINDER CAPACITY <= 2.800 CMÂ³ AND SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705",0.0%,India,0.0%,0%,0%,,,,,,,,
87079090,BODIES FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8707.90.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87081010,"BUMPERS AND PARTS THEREOF FOR THE INDUSTRIAL ASSEMBLY OF MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" OF A CYLINDER CAPACITY <= 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE OF A CYLINDER CAPACITY <= 2.800 CMÂ³ AND SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S.",0.0%,India,0.0%,0%,0%,,,,,,,,
87081090,BUMPERS AND PARTS THEREOF FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.10.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87082110,"SAFETY SEAT BELTS FOR THE INDUSTRIAL ASSEMBLY OF : MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL"" OF A CYLINDER CAPACITY <= 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE OF A CYLINDER CAPACITY <= 2.800 CMÂ³ AND SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705",0.0%,India,0.0%,0%,0%,,,,,,,,
87082190,SAFETY SEAT BELTS FOR MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.21.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87082910,"PARTS AND ACCESSORIES FOR THE INDUSTRIAL ASSEMBLY OF BODIES OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" <= 2500 CMÂ³ OR SPARK-IGNITION INTERNAL PISTON ENGINE <= 2800 CMÂ³",0.0%,India,0.0%,0%,0%,,,,,,,,
87082990,PARTS AND ACCESSORIES FOR THE INDUSTRIAL ASSEMBLY OF BODIES OF: TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF >= 10 PERSONS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS SPECIAL PURPOSE MOTOR VEHICLES (EXCL. BUMPERS AND PARTS THEREOF SAFETY SEAT BELTS AND PARTS AND ACCESSORIES FOR THE INDUSTRIAL ASSEMBLY OF MOTOR VEHICLES OF SUBHEADING 8708.29.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87083010,"BRAKES AND SERVO-BRAKES AND THEIR PARTS FOR THE INDUSTRIAL ASSEMBLY OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" <= 2500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE <= 2800 CMÂ³ SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S.",0.0%,India,0.0%,0%,0%,,,,,,,,
87083091,PARTS FOR DISC BRAKES FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.30.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87083099,BRAKES AND SERVO-BRAKES AND THEIR PARTS FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.30.10 AND FOR DISC BRAKES),0.0%,India,0.0%,0%,0%,,,,,,,,
87084020,"GEAR BOXES AND PARTS THEREOF FOR THE INDUSTRIAL ASSEMBLY OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" OF A CYLINDER CAPACITY <= 2500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE OF A CYLINDER CAPACITY <= 2800 CMÂ³ SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S",0.0%,India,0.0%,0%,0%,,,,,,,,
87084050,GEAR BOXES FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.40.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87084091,PARTS FOR GEAR BOXES OF CLOSED-DIE FORGED STEEL FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.40.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87084099,PARTS FOR GEAR BOXES FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.40.20 AND OF CLOSED-DIE FORGED STEEL),0.0%,India,0.0%,0%,0%,,,,,,,,
87085020,"DRIVE-AXLES WITH DIFFERENTIAL WHETHER OR NOT PROVIDED WITH OTHER TRANSMISSION COMPONENTS AND NON-DRIVING AXLES AND PARTS THEREOF FOR THE INDUSTRIAL ASSEMBLY OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" <= 2500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE <= 2800 CMÂ³ SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S",0.0%,India,0.0%,0%,0%,,,,,,,,
87085035,DRIVE-AXLES WITH DIFFERENTIAL WHETHER OR NOT PROVIDED WITH OTHER TRANSMISSION COMPONENTS AND NON-DRIVING AXLES FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.50.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87085055,PARTS FOR DRIVE-AXLES WITH DIFFERENTIAL WHETHER OR NOT PROVIDED WITH OTHER TRANSMISSION COMPONENTS AND FOR NON-DRIVING AXLES OF CLOSED-DIE FORGED STEEL FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.50.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87085091,PARTS FOR NON-DRIVING AXLES FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.50.20 AND OF CLOSED-DIE FORGED STEEL),0.0%,India,0.0%,0%,0%,,,,,,,,
87085099,PARTS FOR DRIVE-AXLES WITH DIFFERENTIAL WHETHER OR NOT PROVIDED WITH OTHER TRANSMISSION COMPONENTS FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.50.20 FOR NON-DRIVING AXLES AND OF CLOSED-DIE FORGED STEEL),0.0%,India,0.0%,0%,0%,,,,,,,,
87087010,"ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR THE INDUSTRIAL ASSEMBLY OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" <= 2500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE <= 2800 CMÂ³ AND SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S.",0.0%,India,0.0%,0%,0%,,,,,,,,
87087050,ALUMINIUM ROAD WHEELS ALUMINIUM PARTS AND ACCESSORIES THEREOF FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.70.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87087091,WHEEL CENTRES IN STAR FORM CAST IN ONE PIECE OF IRON OR STEEL FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.70.10),0.0%,India,0.0%,0%,0%,,,,,,,,
87087099,ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.70.10 THOSE OF ALUMINIUM AND WHEEL CENTRES IN STAR FORM CAST IN ONE PIECE OF IRON OR STEEL),0.0%,India,0.0%,0%,0%,,,,,,,,
87088020,"SUSPENSION SYSTEMS AND PARTS THEREOF INCL. SHOCK-ABSORBERS FOR THE INDUSTRIAL ASSEMBLY OF: MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" OF A CYLINDER CAPACITY <= 2.500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE OF A CYLINDER CAPACITY <= 2.800 CMÂ³ AND SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S",0.0%,India,0.0%,0%,0%,,,,,,,,
87088035,SUSPENSION SHOCK-ABSORBERS FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.80.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87088055,ANTI ROLL BARS AND TORSION BARS FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.80.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87088091,SUSPENSION SYSTEMS AND PARTS THEREOF OF CLOSED-DIE FORGED STEEL FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.80.20 SHOCK-ABSORBERS ANTI ROLL BARS AND TORSION BARS),0.0%,India,0.0%,0%,0%,,,,,,,,
87088099,SUSPENSION SYSTEMS AND PARTS THEREOF FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.80.20 SHOCK-ABSORBERS ANTI ROLL BARS TORSION BARS AND THOSE OF CLOSED-DIE FORGED STEEL),0.0%,India,0.0%,0%,0%,,,,,,,,
87089120,"RADIATORS AND PARTS THEREOF FOR THE INDUSTRIAL ASSEMBLY OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" OF A CYLINDER CAPACITY <= 2500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE OF A CYLINDER CAPACITY <= 2800 CMÂ³ SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S",0.0%,India,0.0%,0%,0%,,,,,,,,
87089135,RADIATORS FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.91.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87089191,PARTS FOR RADIATORS OF CLOSED-DIE FORGED STEEL FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.91.20),0.0%,India,0.0%,0%,0%,,,,,,,,
87089199,PARTS FOR RADIATORS FOR TRACTORS MOTOR VEHICLES FOR THE TRANSPORT OF TEN OR MORE PERSONS MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS MOTOR VEHICLES FOR THE TRANSPORT OF GOODS AND SPECIAL PURPOSE MOTOR VEHICLES N.E.S. (EXCL. THOSE FOR THE INDUSTRIAL ASSEMBLY OF CERTAIN MOTOR VEHICLES OF SUBHEADING 8708.91.20 AND THOSE OF CLOSED-DIE FORGED STEEL),0.0%,India,0.0%,0%,0%,,,,,,,,
87089220,"SILENCERS ""MUFFLERS"" AND EXHAUST PIPES AND PARTS THEREOF FOR THE INDUSTRIAL ASSEMBLY OF: PEDESTRIAN-CONTROLLED TRACTORS MOTOR CARS AND VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS VEHICLES FOR THE TRANSPORT OF GOODS WITH COMPRESSION-IGNITION INTERNAL COMBUSTION PISTON ENGINE ""DIESEL OR SEMI-DIESEL ENGINE"" <= 2500 CMÂ³ OR WITH SPARK-IGNITION INTERNAL PISTON ENGINE <= 2800 CMÂ³ SPECIAL PURPOSE MOTOR VEHICLES OF HEADING 8705 N.E.S",0.0%,India,0.0%,0%,0%,,,,,,,,
